method,function,randomfailures,failfraction,n,0
PCGPwM,Piston,False,0.01,100,20
PCGPwM,Piston,False,0.01,250,20
PCGPwM,Piston,False,0.01,1000,20
PCGPwM,Piston,False,0.05,50,20
PCGPwM,Piston,False,0.05,100,20
PCGPwM,Piston,False,0.05,250,20
PCGPwM,Piston,False,0.05,1000,20
PCGPwM,Piston,False,0.25,50,20
PCGPwM,Piston,False,0.25,100,20
PCGPwM,Piston,False,0.25,250,20
PCGPwM,Piston,False,0.25,1000,20
PCGPwM,Piston,True,0.01,50,20
PCGPwM,Piston,True,0.01,100,20
PCGPwM,Piston,True,0.01,250,20
PCGPwM,Piston,True,0.01,1000,20
PCGPwM,Piston,True,0.05,50,20
PCGPwM,Piston,True,0.05,100,20
PCGPwM,Piston,True,0.05,250,20
PCGPwM,Piston,True,0.05,1000,20
PCGPwM,Piston,True,0.25,50,20
PCGPwM,Piston,True,0.25,100,20
PCGPwM,Piston,True,0.25,250,20
PCGPwM,Piston,True,0.25,1000,20
PCGPwM,Wingweight,False,0.01,50,20
PCGPwM,Wingweight,False,0.01,100,20
PCGPwM,Wingweight,False,0.01,250,20
PCGPwM,Wingweight,False,0.01,1000,20
PCGPwM,Wingweight,False,0.01,2500,20
PCGPwM,Wingweight,False,0.05,50,20
PCGPwM,Wingweight,False,0.05,100,20
PCGPwM,Wingweight,False,0.05,250,20
PCGPwM,Wingweight,False,0.05,1000,20
PCGPwM,Wingweight,False,0.05,2500,20
PCGPwM,Wingweight,False,0.25,50,20
PCGPwM,Wingweight,False,0.25,100,20
PCGPwM,Wingweight,False,0.25,250,20
PCGPwM,Wingweight,False,0.25,1000,20
PCGPwM,Wingweight,False,0.25,2500,20
PCGPwM,Wingweight,True,0.01,50,20
PCGPwM,Wingweight,True,0.01,100,20
PCGPwM,Wingweight,True,0.01,250,20
PCGPwM,Wingweight,True,0.01,1000,20
PCGPwM,Wingweight,True,0.01,2500,20
PCGPwM,Wingweight,True,0.05,50,20
PCGPwM,Wingweight,True,0.05,100,20
PCGPwM,Wingweight,True,0.05,250,20
PCGPwM,Wingweight,True,0.05,1000,20
PCGPwM,Wingweight,True,0.05,2500,20
PCGPwM,Wingweight,True,0.25,50,20
PCGPwM,Wingweight,True,0.25,100,20
PCGPwM,Wingweight,True,0.25,250,20
PCGPwM,Wingweight,True,0.25,1000,20
PCGPwM,Wingweight,True,0.25,2500,20
colGP,Borehole,False,0.01,50,20
colGP,Borehole,False,0.01,100,20
colGP,Borehole,False,0.01,250,20
colGP,Borehole,False,0.01,1000,20
colGP,Borehole,False,0.05,50,20
colGP,Borehole,False,0.05,100,20
colGP,Borehole,False,0.05,250,20
colGP,Borehole,False,0.05,1000,20
colGP,Borehole,False,0.25,50,20
colGP,Borehole,False,0.25,100,20
colGP,Borehole,False,0.25,250,20
colGP,Borehole,False,0.25,1000,20
colGP,Borehole,False,0.25,2500,20
colGP,Borehole,True,0.01,50,20
colGP,Borehole,True,0.01,100,20
colGP,Borehole,True,0.01,250,20
colGP,Borehole,True,0.01,1000,20
colGP,Borehole,True,0.05,50,20
colGP,Borehole,True,0.05,100,20
colGP,Borehole,True,0.05,250,20
colGP,Borehole,True,0.05,1000,20
colGP,Borehole,True,0.25,50,20
colGP,Borehole,True,0.25,100,20
colGP,Borehole,True,0.25,250,20
colGP,Borehole,True,0.25,1000,20
colGP,Borehole,True,0.25,2500,19
colGP,OTLcircuit,False,0.01,50,20
colGP,OTLcircuit,False,0.01,100,20
colGP,OTLcircuit,False,0.01,250,20
colGP,OTLcircuit,False,0.01,1000,20
colGP,OTLcircuit,False,0.01,2500,2
colGP,OTLcircuit,False,0.05,50,20
colGP,OTLcircuit,False,0.05,100,20
colGP,OTLcircuit,False,0.05,250,20
colGP,OTLcircuit,False,0.05,1000,20
colGP,OTLcircuit,False,0.05,2500,6
colGP,OTLcircuit,False,0.25,50,20
colGP,OTLcircuit,False,0.25,100,20
colGP,OTLcircuit,False,0.25,250,20
colGP,OTLcircuit,False,0.25,1000,20
colGP,OTLcircuit,False,0.25,2500,20
colGP,OTLcircuit,True,0.01,50,20
colGP,OTLcircuit,True,0.01,100,20
colGP,OTLcircuit,True,0.01,250,20
colGP,OTLcircuit,True,0.01,1000,20
colGP,OTLcircuit,True,0.01,2500,1
colGP,OTLcircuit,True,0.05,50,20
colGP,OTLcircuit,True,0.05,100,20
colGP,OTLcircuit,True,0.05,250,20
colGP,OTLcircuit,True,0.05,1000,20
colGP,OTLcircuit,True,0.05,2500,6
colGP,OTLcircuit,True,0.25,50,20
colGP,OTLcircuit,True,0.25,100,20
colGP,OTLcircuit,True,0.25,250,20
colGP,OTLcircuit,True,0.25,1000,20
colGP,OTLcircuit,True,0.25,2500,19
colGP,Piston,False,0.01,50,20
colGP,Piston,False,0.01,100,20
colGP,Piston,False,0.01,250,20
colGP,Piston,False,0.01,1000,20
colGP,Piston,False,0.05,50,20
colGP,Piston,False,0.05,100,20
colGP,Piston,False,0.05,250,20
colGP,Piston,False,0.05,1000,20
colGP,Piston,False,0.05,2500,5
colGP,Piston,False,0.25,50,20
colGP,Piston,False,0.25,100,20
colGP,Piston,False,0.25,250,20
colGP,Piston,False,0.25,1000,20
colGP,Piston,False,0.25,2500,20
colGP,Piston,True,0.01,50,20
colGP,Piston,True,0.01,100,20
colGP,Piston,True,0.01,250,20
colGP,Piston,True,0.01,1000,20
colGP,Piston,True,0.05,50,20
colGP,Piston,True,0.05,100,20
colGP,Piston,True,0.05,250,20
colGP,Piston,True,0.05,1000,20
colGP,Piston,True,0.25,50,20
colGP,Piston,True,0.25,100,20
colGP,Piston,True,0.25,250,20
colGP,Piston,True,0.25,1000,20
colGP,Piston,True,0.25,2500,19
colGP,Wingweight,False,0.01,50,20
colGP,Wingweight,False,0.01,100,20
colGP,Wingweight,False,0.01,250,20
colGP,Wingweight,False,0.01,1000,20
colGP,Wingweight,False,0.01,2500,18
colGP,Wingweight,False,0.05,50,20
colGP,Wingweight,False,0.05,100,20
colGP,Wingweight,False,0.05,250,20
colGP,Wingweight,False,0.05,1000,20
colGP,Wingweight,False,0.25,50,20
colGP,Wingweight,False,0.25,100,20
colGP,Wingweight,False,0.25,250,20
colGP,Wingweight,False,0.25,1000,20
colGP,Wingweight,False,0.25,2500,20
colGP,Wingweight,True,0.01,50,20
colGP,Wingweight,True,0.01,100,20
colGP,Wingweight,True,0.01,250,20
colGP,Wingweight,True,0.01,1000,20
colGP,Wingweight,True,0.01,2500,19
colGP,Wingweight,True,0.05,50,20
colGP,Wingweight,True,0.05,100,20
colGP,Wingweight,True,0.05,250,20
colGP,Wingweight,True,0.05,1000,20
colGP,Wingweight,True,0.25,50,20
colGP,Wingweight,True,0.25,100,20
colGP,Wingweight,True,0.25,250,20
colGP,Wingweight,True,0.25,1000,20
colGP,Wingweight,True,0.25,2500,19
